Semester,Year,Instructor,Dept,Course ID,Course Name,Section,Responses,Enrollment,Resp. Rate %,1: Hrs Per Week 9,2: Interest in student learning,3: Explain course requirements,4: Clear learning goals,5: Instructor provides Feedback to students,6: Importance of subject,7: Explains subject matter,8: Show respect for students,9: Overall teaching,10: Overall course
Spring,2017,CHARLES HOOVER,ETC,53604,PRODCTN & LEADERSHIP,A,10,13,77%,7.10,4.90,4.70,4.70,4.90,4.90,4.90,4.90,4.90,4.90
Spring,2017,JESSE SCHELL,ETC,53609,GAME DESIGN,A,20,27,74%,17.42,4.55,4.75,4.75,4.75,4.80,4.75,4.60,4.80,4.85
Spring,2017,SHIRLEY SALDAMARCO,ETC,53612,GUEST EXPER-THEME DE,A,7,11,64%,4.14,4.57,4.71,4.71,4.71,4.43,4.57,4.71,4.71,4.57
Spring,2017,CARL ROSENDAHL,ETC,53630,ENTRPRNSHP ENTRN TCH,L,6,7,86%,8.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Spring,2017,THOMAS CORBETT,ETC,53671,"GAME DGN, PROTOTYPIN",1,2,4,50%,15.50,4.00,4.00,4.00,4.00,4.00,4.00,4.50,3.50,3.50
Spring,2017,THOMAS CORBETT,ETC,53671,"GAME DGN, PROTOTYPIN",A,2,4,50%,17.00,4.00,4.00,4.00,4.00,4.00,3.50,4.50,3.50,3.50
Spring,2017,JESSICA HAMMER,ETC,53689,ETC INDEPNDT STUDY,C,2,2,100%,14.00,5.00,4.50,4.50,5.00,5.00,4.50,5.00,5.00,4.50
Spring,2017,BRENDA HARGER,ETC,53712,IMPROV ACTING II,A3,7,19,37%,6.00,4.86,5.00,4.86,5.00,5.00,4.86,5.00,5.00,5.00
Spring,2017,BRENDA HARGER,ETC,53713,IMPROVSTNL ACTG III,A4,9,16,56%,2.33,4.56,4.33,4.33,4.56,4.56,4.11,4.78,4.44,4.78
Spring,2017,RICARDO WASHINGTON,ETC,53723,DIGITAL ART STD (EDS,C,5,5,100%,12.80,4.60,4.40,4.60,4.75,4.60,4.60,4.80,4.80,4.60
Spring,2017,MICHAEL TSAI,ETC,53731,TECH ART IN GAMES,1,6,9,67%,8.00,4.50,3.67,3.83,4.33,4.50,4.17,4.67,3.67,4.00
Spring,2017,MICHAEL TSAI,ETC,53731,TECH ART IN GAMES,A,5,9,56%,8.75,4.60,3.80,4.40,4.40,4.40,4.00,4.60,3.80,4.00
Spring,2017,ROGER AUDIA,ETC,53788,INTRO TO MAYA,1,6,9,67%,11.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Spring,2017,GERARD KLUG,ETC,53872,WRITING FOR TELEVISI,A,3,5,60%,13.00,5.00,4.67,4.67,5.00,5.00,5.00,5.00,4.67,5.00
Spring,2017,SHIRLEY YEE,ETC,53886,WHY TYPOGRPY MTR MED,A,2,3,67%,8.00,4.50,4.00,4.50,5.00,4.50,4.50,4.50,4.50,4.50
